Id,Label,timeset,0,1,2,3,4,5,6,7,8,9,bday,kclique,demon,louvain,infomap,Degree,componentnumber,Weighted Degree,modularity_class
4146786,4146786,,"Maletin, P",319,2611,2567,-15.2,92,141,86,RUS,M,1986,4,34,1,1,29,0,29,2
4123700,4123700,,"Moiseenko, Va",369,2567,2454,28.8,108,126,135,RUS,M,1994,4,34,1,1,38,0,38,2
4113403,4113403,,"Zvjaginsev, V",643,2683,2625,-290.7,189,341,113,RUS,M,1976,4,34,1,1,71,0,71,2
24105074,24105074,,"Iljiushenok, I",339,2549,2413,98.7,93,127,119,RUS,M,1993,4,30,1,1,40,0,40,2
4122747,4122747,,"Shariyazdanov, A",73,2584,2526,-53.3,14,32,27,RUS,M,1976,0,30,1,1,4,0,4,2
24101605,24101605,,"Artemiev, V",938,2761,2459,721.9,419,356,163,RUS,M,1998,4,34,1,1,107,0,107,2
4147855,4147855,,"Pogonina, N",322,2508,2445,71.5,85,147,90,RUS,F,1985,8,32,2,2,34,0,34,7
110973,110973,,"Pichot, A",414,2584,2412,-11.5,120,177,117,ARG,M,1998,24,33,0,8,38,0,38,19
2260735,2260735,,"Asis Gargatagli, H",215,2538,2456,94.8,58,105,52,ESP,M,1986,25,31,0,19,17,0,17,19
4122160,4122160,,"Hasangatin, R",169,2512,2485,-130.7,22,69,78,RUS,M,1972,4,27,1,1,13,0,13,2
4135741,4135741,,"Usmanov, V",342,2483,2414,160.2,69,134,139,RUS,M,1996,4,30,1,1,37,0,37,2
46616543,46616543,,"Gukesh, D",118,2543,2401,91.8,29,57,32,IND,M,2006,0,0,0,50,3,0,3,19
14104202,14104202,,"Malakhatko, V",346,2571,2456,-115.6,59,210,77,BEL,M,1977,0,30,6,34,17,0,17,9
14111110,14111110,,"Sitnikov, A",32,2500,2409,-7.4,9,11,12,UKR,M,1985,0,0,4,31,1,0,1,12
24113409,24113409,,"Nechaev, O",43,2410,2400,-20.4,9,7,27,RUS,M,1973,0,25,1,1,2,0,2,2
4131061,4131061,,"Potkin, V",492,2666,2574,-6.2,148,211,133,RUS,M,1982,4,34,1,1,49,0,49,2
4168119,4168119,,"Nepomniachtchi, I",1245,2775,2702,529.1,467,523,255,RUS,M,1990,4,34,1,1,105,0,105,8
4192770,4192770,,"Vastrukhin, O",94,2420,2401,50.6,21,25,48,RUS,M,1991,4,25,1,1,7,0,7,2
4150120,4150120,,"Lysyj, I",420,2700,2617,-117.5,130,223,67,RUS,M,1987,4,30,1,1,41,0,41,2
25012215,25012215,,"Vignesh, N R",125,2485,2403,114.8,19,64,42,IND,M,1998,0,0,1,39,5,0,5,9
14100371,14100371,,"Bernadskiy, V",465,2594,2473,135.6,164,211,90,UKR,M,1994,0,34,6,24,31,0,31,13
4186214,4186214,,"Sharafiev, A",196,2451,2403,125.1,46,61,89,RUS,M,1990,4,27,1,1,14,0,14,2
4102240,4102240,,"Shcherbakov, R",55,2516,2492,-7.7,13,19,23,RUS,M,1969,0,25,1,1,6,0,6,2
24126454,24126454,,"Lugovskoy, M",276,2502,2401,116.1,69,89,118,RUS,M,1996,4,34,1,1,25,0,25,2
4197143,4197143,,"Demidov, M",455,2556,2443,205,138,170,147,RUS,M,1992,4,34,1,1,43,0,43,2
2270544,2270544,,"Alonso Rosell, A",240,2559,2496,-23.5,66,119,55,ESP,M,1992,25,31,0,19,20,0,20,19
117927,117927,,"Perez Ponsa, F",325,2594,2474,113,112,142,71,ARG,M,1993,24,34,0,8,34,0,34,19
24104272,24104272,,"Rozum, I",569,2606,2473,55.4,186,231,152,RUS,M,1991,4,34,1,1,61,0,61,2
24105660,24105660,,"Savitskiy, S",123,2428,2401,-39.3,23,31,69,RUS,M,1995,4,30,1,1,15,0,15,2
5078776,5078776,,"Harsha, B",114,2497,2404,83.6,29,40,45,IND,M,2000,0,0,6,1,1,0,1,8
13302531,13302531,,"Ter Sahakyan, S",364,2632,2546,97,122,162,80,ARM,M,1993,10,34,8,15,28,0,28,19
11600357,11600357,,"Berzinsh, R",139,2444,2400,81.2,28,62,49,LAT,M,1975,11,27,9,12,12,0,12,16
14104555,14104555,,"Simantsev, M",226,2531,2401,-58.3,39,124,63,UKR,M,1978,0,29,3,31,19,0,19,11
4180887,4180887,,"Bocharov, I",190,2569,2467,139.6,67,73,50,RUS,M,1990,4,30,1,1,17,0,17,2
4140419,4140419,,"Timofeev, Arty",621,2641,2534,-33.3,165,345,111,RUS,M,1985,4,34,1,1,72,0,72,2
4157800,4157800,,"Ponkratov, P",831,2651,2573,232.5,343,277,211,RUS,M,1988,4,34,1,1,97,0,97,2
4147332,4147332,,"Savchenko, B",836,2639,2523,313.8,371,197,268,RUS,M,1986,4,34,1,1,100,0,100,2
4122488,4122488,,"Oganian, M",161,2462,2405,9.9,29,57,75,RUS,M,1996,4,25,1,1,11,0,11,2
4184688,4184688,,"Pogromsky, M",56,2431,2414,-7.5,9,17,30,RUS,M,1988,0,0,1,58,2,0,2,2
4148843,4148843,,"Romanov, E",713,2655,2573,-299.9,234,304,175,RUS,M,1988,4,34,1,1,58,0,58,2
22235256,22235256,,"Diaz Camallonga, C",90,2463,2432,36.6,21,34,35,ESP,M,1996,0,31,0,19,10,0,10,19
116807,116807,,"Krysa, L",206,2548,2411,26,53,96,57,ARG,M,1992,24,31,0,8,19,0,19,19
24125890,24125890,,"Oparin, G",634,2660,2478,314,177,334,123,RUS,M,1997,4,34,1,1,62,0,62,2
4181751,4181751,,"Bodnaruk, A",348,2479,2402,104.9,103,115,130,RUS,F,1992,8,32,2,2,30,0,30,7
4120787,4120787,,"Malakhov, V",673,2722,2654,-159.6,229,339,105,RUS,M,1980,4,34,1,1,84,0,84,2
4116992,4116992,,"Morozevich, A",770,2770,2656,-191.1,310,248,212,RUS,M,1977,4,34,1,1,83,0,83,2
4138716,4138716,,"Bocharov, D",675,2620,2506,207.1,254,219,202,RUS,M,1982,4,34,1,1,83,0,83,2
4153278,4153278,,"Kryakvin, D",368,2601,2511,-104.6,113,160,95,RUS,M,1984,4,34,1,1,31,0,31,2
24124621,24124621,,"Kezin, R",78,2479,2408,32.8,21,22,35,RUS,M,1995,0,25,1,58,5,0,5,2
112275,112275,,"Mareco, S",529,2666,2557,-120.3,211,218,100,ARG,M,1987,31,31,0,8,51,0,51,19
2212943,2212943,,"Lopez Martinez, Josep",241,2607,2498,-34.3,87,83,71,ESP,M,1980,25,31,0,19,17,0,17,19
4100123,4100123,,"Bivol, A",12,2403,2403,-6.4,3,3,6,RUS,F,1996,0,0,2,2,1,0,1,7
4195752,4195752,,"Girya, O",483,2505,2414,-37.9,118,186,179,RUS,F,1991,8,32,2,2,47,0,47,7
4149351,4149351,,"Guseva, Marina",102,2431,2404,9.7,27,37,38,RUS,F,1986,8,32,2,2,14,0,14,7
4116704,4116704,,"Kovalevskaya, E",132,2467,2402,9.6,23,65,44,RUS,F,1974,8,32,2,2,12,0,12,7
14113147,14113147,,"Kravtsiv, M",500,2685,2563,54.5,172,244,84,UKR,M,1990,4,34,1,1,37,0,37,8
5024595,5024595,,"Lalith, B",480,2594,2515,14.2,165,185,130,IND,M,1993,21,34,6,10,41,0,41,9
13301993,13301993,,"Babujian, L",196,2512,2434,114.4,64,60,72,ARM,M,1986,10,34,8,15,21,0,21,19
4108116,4108116,,"Chigaev, M",712,2643,2454,328.4,249,299,164,RUS,M,1996,4,34,1,1,81,0,81,2
4111990,4111990,,"Khanin, S",220,2529,2405,121,64,83,73,RUS,M,1999,4,30,1,1,21,0,21,2
14116502,14116502,,"Sivuk, V",356,2570,2454,-68.2,98,149,109,UKR,M,1992,0,34,1,39,15,0,15,2
5029104,5029104,,"Stany, G",127,2527,2404,54.4,34,50,43,IND,M,1993,0,25,6,10,7,0,7,8
4155840,4155840,,"Sadovsky, Artem",54,2416,2401,-73.6,5,10,39,RUS,M,1996,0,0,1,1,2,0,2,2
4100263,4100263,,"Balashov, Y",154,2481,2408,63.2,35,62,57,RUS,M,1949,0,30,1,32,13,0,13,2
24183750,24183750,,"Lobanov, Sergei",253,2539,2427,75.9,67,94,92,RUS,M,2001,4,25,1,1,16,0,16,2
24112798,24112798,,"Gordievsky, D",479,2653,2422,6.1,144,189,146,RUS,M,1996,4,34,1,1,44,0,44,2
4168003,4168003,,"Matlakov, M",875,2738,2653,-29.6,335,405,135,RUS,M,1991,4,34,1,1,108,0,108,2
24171743,24171743,,"Drygalov, Sergey",125,2492,2400,83.7,27,56,42,RUS,M,1999,0,25,1,1,7,0,7,2
4147235,4147235,,"Tomashevsky, E",708,2758,2695,-133.8,205,389,114,RUS,M,1987,4,34,1,1,78,0,78,8
4189302,4189302,,"Sjugirov, S",748,2678,2624,44.7,287,330,131,RUS,M,1993,4,34,1,1,84,0,84,2
4125029,4125029,,"Riazantsev, A",728,2712,2646,-74.4,277,284,167,RUS,M,1985,4,34,1,1,85,0,85,2
4160258,4160258,,"Demchenko, A",529,2679,2575,-74.3,198,217,114,RUS,M,1987,4,34,1,1,40,0,40,2
4127870,4127870,,"Pridorozhni, A",501,2593,2512,122.3,157,216,128,RUS,M,1981,4,34,1,1,66,0,66,2
4131002,4131002,,"Gabrielian, A",296,2594,2458,-117.4,72,107,117,RUS,M,1982,4,34,1,1,22,0,22,2
24176702,24176702,,"Fakhrutdinov, Timur",116,2485,2408,18.7,27,40,49,RUS,M,2001,0,27,1,1,4,0,4,2
4120680,4120680,,"Sviridov, Va",71,2556,2504,2.3,18,27,26,RUS,M,1991,0,25,1,1,2,0,2,2
24133795,24133795,,"Sarana, A",624,2655,2410,310.7,208,242,174,RUS,M,2000,4,33,1,1,61,0,61,2
4161203,4161203,,"Gochelashvili, D",67,2435,2419,-26.2,12,18,37,RUS,M,1984,0,25,1,1,3,0,3,2
1119290,1119290,,"Pakleza, Z",178,2520,2468,-45.8,30,88,60,POL,M,1986,0,30,3,7,10,0,10,11
900389,900389,,"Pavlovic, Milos",205,2531,2466,-61.4,37,95,73,SRB,M,1964,0,27,4,6,9,0,9,12
24175439,24175439,,"Esipenko, Andrey",464,2625,2403,302.9,151,198,115,RUS,M,2002,4,34,1,1,39,0,39,2
14102536,14102536,,"Fedorchuk, S",673,2673,2604,-163.4,259,283,131,UKR,M,1981,18,34,5,16,58,0,58,4
4127820,4127820,,"Kabanov, N",187,2514,2446,-109.4,35,45,107,RUS,M,1980,4,30,1,1,21,0,21,2
24199443,24199443,,"Ofitserian, Boris",41,2421,2402,-27.2,7,9,25,RUS,M,2000,0,25,1,1,2,0,2,2
4153251,4153251,,"Panarin, M",81,2565,2538,-45.4,18,33,30,RUS,M,1983,0,25,1,1,3,0,3,2
24194697,24194697,,"Tsoi, Dmitry",52,2429,2422,-10.8,9,15,28,RUS,M,2004,0,0,1,1,1,0,1,2
14700077,14700077,,"Amonatov, F",347,2637,2581,127.6,149,123,75,TJK,M,1978,0,34,1,39,26,0,26,9
2600013,2600013,,"Spraggett, K",149,2595,2511,-65.8,37,74,38,CAN,M,1954,0,0,0,47,6,0,6,19
14104369,14104369,,"Solodovnichenko, Y",284,2602,2528,-32.4,86,146,52,UKR,M,1978,0,27,13,17,9,0,9,6
2268795,2268795,,"Huerga Leache, M",64,2458,2433,25.6,12,32,20,ESP,M,1989,0,0,0,19,2,0,2,19
4183088,4183088,,"Malakhov, I",104,2456,2423,29.3,22,30,52,RUS,M,1989,0,27,1,1,8,0,8,2
24100110,24100110,,"Dzhumagaliev, Y",149,2424,2400,212.6,48,24,77,RUS,M,1991,0,34,1,1,8,0,8,2
4198026,4198026,,"Kashlinskaya, A",288,2492,2418,68.7,88,93,107,RUS,F,1993,8,32,2,2,30,0,30,7
14700247,14700247,,"Khusenkhojaev, Muhammad",119,2462,2401,43,18,59,42,TJK,M,1987,0,0,6,24,3,0,3,13
14100150,14100150,,"Neverov, V",209,2519,2460,-37.9,38,81,90,UKR,M,1964,0,34,1,24,9,0,9,8
100013,100013,,"Campora, D",97,2493,2405,-46.9,6,50,41,ARG,M,1957,0,0,0,47,3,0,3,19
4170350,4170350,,"Popov, Iv RUS",684,2661,2581,-134.5,230,321,133,RUS,M,1990,4,34,1,1,83,0,83,2
4104226,4104226,,"Sakaev, K",144,2594,2580,-20.3,44,63,37,RUS,M,1974,0,34,1,1,8,0,8,2
14900092,14900092,,"Mrva, Mart",41,2434,2403,-46.7,9,7,25,SVK,M,1971,0,23,3,5,5,0,5,11
4156803,4156803,,"Korneev, O",446,2645,2506,-133.2,116,265,65,ESP,M,1969,0,27,6,43,22,0,22,19
5001668,5001668,,"Sriram, J",90,2440,2400,-14.4,6,51,33,IND,M,1976,0,34,6,10,3,0,3,9
866970,866970,,"Basso, Pier Luigi",216,2576,2417,-7,41,109,66,ITA,M,1997,27,30,18,21,14,0,14,13
13301152,13301152,,"Movsziszian, K",235,2541,2454,-39.7,58,106,71,ARM,M,1963,0,31,0,19,13,0,13,19
1508083,1508083,,"Holm, Kristian Stuvik",119,2474,2403,58.5,17,68,34,NOR,M,1998,0,25,13,26,7,0,7,6
2256444,2256444,,"Larino Nieto, D",134,2508,2432,54.6,34,56,44,ESP,M,1989,0,25,0,44,10,0,10,19
3409350,3409350,,"Henriquez Villagra, C",202,2562,2416,124.4,62,81,59,CHI,M,1996,17,31,0,8,15,0,15,19
13500139,13500139,,"Aleksandrov, A",683,2637,2539,-64.7,200,334,149,BLR,M,1973,26,34,1,1,61,0,61,2
14604299,14604299,,"Skoberne, J",176,2582,2541,-47,55,62,59,SLO,M,1987,0,27,4,9,5,0,5,12
3503313,3503313,,"Almeida Quintana, O",112,2550,2472,-17.6,19,75,18,CUB,M,1981,4,33,0,22,12,0,12,3
1300113,1300113,,"Georgiadis, N",256,2534,2421,135.9,49,117,90,SUI,M,1996,13,34,5,27,23,0,23,4
14901625,14901625,,"Petrik, T",176,2536,2457,-76.4,43,75,58,SVK,M,1980,15,29,3,5,19,0,19,11
4650891,4650891,,"Naiditsch, A",818,2736,2657,-326.6,333,294,191,AZE,M,1985,4,34,1,1,81,0,81,8
937614,937614,,"Roganovic, Milo",79,2527,2478,-20.4,14,46,19,SRB,M,1991,0,16,4,6,3,0,3,12
2101246,2101246,,"Leitao, R",128,2649,2616,-85.5,31,74,23,BRA,M,1979,31,34,0,8,8,0,8,19
13601520,13601520,,"Jobava, Ba",807,2734,2584,-210.6,301,292,214,GEO,M,1983,4,34,1,1,87,0,87,8
2285525,2285525,,"Anton Guijarro, D",782,2679,2475,180.4,295,319,168,ESP,M,1995,4,34,1,1,81,0,81,8
1124668,1124668,,"Tomczak, J",367,2633,2542,17.4,120,160,87,POL,M,1990,4,30,3,7,29,0,29,11
5018471,5018471,,"Adhiban, Baskaran",676,2701,2547,65.7,256,280,140,IND,M,1992,21,34,6,1,71,0,71,8
13503758,13503758,,"Stupak, K",588,2588,2486,77.1,159,300,129,BLR,M,1990,26,34,1,24,41,0,41,2
3407128,3407128,,"Salinas Herrera, P",167,2506,2401,85.3,48,54,65,CHI,M,1994,17,31,0,8,14,0,14,19
3208923,3208923,,"Smirnov, Ant",237,2569,2410,209.6,83,88,66,AUS,M,2001,0,34,13,33,16,0,16,5
3000010,3000010,,"Rodriguez Vila, A",269,2549,2421,-49.5,66,102,101,URU,M,1973,31,31,0,8,36,0,36,19
2300117,2300117,,"Steingrimsson, H",124,2583,2530,-23.5,37,48,39,ISL,M,1975,0,15,13,35,8,0,8,6
922412,922412,,"Djukic, Ni",292,2574,2508,-87.4,70,148,74,MNE,M,1983,20,27,4,6,15,0,15,12
3000028,3000028,,"Roselli Mailhe, B",111,2471,2404,-37.9,22,30,59,URU,M,1965,0,31,0,8,9,0,9,19
3202534,3202534,,Zhao Zong Yuan,99,2579,2523,-67.3,20,49,30,AUS,M,1986,0,6,13,33,8,0,8,5
2905540,2905540,,"Cheparinov, I",786,2718,2663,-105,289,359,138,GEO,M,1986,18,34,1,1,102,0,102,8
5201268,5201268,,"Sadorra, J",166,2611,2483,-13.6,53,70,43,PHI,M,1986,0,34,21,3,6,0,6,3
12401137,12401137,,Le Quang Liem,754,2739,2676,38.6,303,314,137,VIE,M,1991,4,34,1,1,87,0,87,8
13900897,13900897,,"Morozov, N",69,2467,2406,3.6,11,33,25,MDA,M,1999,0,0,13,37,3,0,3,6
14117908,14117908,,"Kovalenko, I",990,2702,2556,51.6,484,285,221,LAT,M,1988,26,34,9,1,96,0,96,2
4128125,4128125,,"Kosteniuk, A",907,2561,2457,72.6,349,299,259,RUS,F,1984,8,32,2,2,51,0,51,7
8603006,8603006,,Ju Wenjun,639,2600,2505,76.2,238,267,134,CHN,F,1991,8,32,2,2,38,0,38,7
10601457,10601457,,"Amin, B",532,2710,2627,-165.8,205,202,125,EGY,M,1988,4,34,1,1,47,0,47,8
3801497,3801497,,"Cordova, E",325,2660,2554,-104.2,108,149,68,PER,M,1991,4,34,0,22,29,0,29,3
900885,900885,,"Blagojevic, Dr",218,2530,2457,10.3,29,154,35,MNE,M,1966,20,27,4,6,14,0,14,12
2300044,2300044,,"Hjartarson, J",173,2592,2513,-110.5,49,44,80,ISL,M,1963,0,15,13,35,8,0,8,6
4900758,4900758,,"Munguntuul, B",97,2453,2410,-0.6,14,50,33,MGL,F,1987,0,32,2,2,4,0,4,7
5015197,5015197,,"Harika, D",729,2543,2471,56.9,167,383,179,IND,F,1991,8,32,2,2,45,0,45,7
13900048,13900048,,"Bologan, V",534,2734,2580,-268,188,138,208,MDA,M,1971,4,34,1,1,62,0,62,2
14200244,14200244,,"Kasimdzhanov, R",394,2712,2652,-87.3,107,213,74,UZB,M,1979,4,34,1,1,36,0,36,8
1610856,1610856,,"Ragger, M",732,2703,2632,-130.6,261,353,118,AUT,M,1988,19,34,5,1,73,0,73,8
1506102,1506102,,"Urkedal, F",288,2572,2436,-4.2,85,112,91,NOR,M,1993,0,34,13,26,24,0,24,6
14928752,14928752,,"Gazik, Viktor",176,2537,2403,-5.5,58,46,72,SVK,M,2001,15,29,3,5,12,0,12,11
1304232,1304232,,"Jenni, F",58,2510,2436,-10,13,21,24,SUI,M,1980,0,25,5,27,2,0,2,4
4900847,4900847,,"Batchuluun, T",191,2571,2460,19.2,35,109,47,MGL,M,1987,0,34,24,54,8,0,8,8
24116068,24116068,,"Giri, A",1223,2798,2693,-96.8,331,662,230,NED,M,1994,4,34,1,1,73,0,73,8
1512668,1512668,,"Christiansen, Johan-Sebastian",307,2571,2401,33.2,76,106,125,NOR,M,1998,0,34,13,26,12,0,12,6
1634852,1634852,,"Dragnev, Valentin",260,2535,2410,85.1,62,103,95,AUT,M,1999,0,25,5,9,12,0,12,11
7101554,7101554,,"Sean, W",75,2450,2403,10.2,12,38,25,INA,M,1997,0,0,1,39,1,0,1,9
12401110,12401110,,Nguyen Ngoc Truong Son,422,2662,2613,222.5,145,217,60,VIE,M,1990,4,34,1,1,44,0,44,8
5201381,5201381,,"Gomez, Joh",148,2541,2450,-16.6,29,79,40,PHI,M,1986,0,25,4,28,11,0,11,11
6300545,6300545,,"Sanal, V",440,2557,2404,121.3,137,119,184,TUR,M,1998,0,34,8,1,28,0,28,1
14907518,14907518,,"Jurcik, Mari",220,2501,2443,-37.2,35,124,61,SVK,M,1987,15,34,3,5,17,0,17,11
1301837,1301837,,"Pelletier, Y",284,2604,2529,31.1,66,151,67,SUI,M,1976,4,34,5,27,25,0,25,4
12404675,12404675,,"Nguyen, Anh Khoi",100,2529,2412,95.5,27,40,33,VIE,M,2002,0,25,4,28,4,0,4,11
5203953,5203953,,"Pascua, H",126,2462,2401,75.6,19,65,42,PHI,M,1993,0,20,4,28,9,0,9,11
608742,608742,,"Fressinet, L",869,2720,2625,-251.4,281,406,182,FRA,M,1981,6,34,1,1,88,0,88,8
4101588,4101588,,"Kramnik, V",743,2812,2753,-214.8,237,350,156,RUS,M,1975,4,34,1,1,48,0,48,8
2106388,2106388,,"Supi, L",57,2565,2414,13.8,14,29,14,BRA,M,1996,0,31,0,8,5,0,5,19
200778,200778,,"Docx, S",111,2491,2400,18.8,18,50,43,BEL,M,1974,0,3,5,34,2,0,2,4
4201345,4201345,,"Papaioannou, I",137,2652,2597,40.4,41,82,14,GRE,M,1976,0,2,18,36,8,0,8,13
2805677,2805677,,"Gelfand, B",845,2777,2655,-160.2,218,445,182,ISR,M,1968,4,34,1,1,74,0,74,8
13300881,13300881,,"Sargissian, G",608,2702,2650,-34.3,205,318,85,ARM,M,1983,4,34,1,1,57,0,57,8
4675789,4675789,,"Meier, Geo",655,2659,2610,60.3,201,319,135,GER,M,1987,4,34,5,1,49,0,49,8
3805662,3805662,,"Martinez Alcantara, Jose Eduardo",172,2601,2431,58.1,58,70,44,PER,M,1999,0,0,0,40,6,0,6,4
5200750,5200750,,"Garcia, Jan",51,2444,2413,9.4,6,25,20,PHI,M,1995,0,0,24,4,1,0,1,8
12401820,12401820,,Tran Tuan Minh,243,2558,2417,92.2,81,87,75,VIE,M,1997,0,34,4,28,15,0,15,11
14400049,14400049,,"Dizdarevic, E",141,2546,2423,-22.7,17,99,25,BIH,M,1958,0,25,4,9,8,0,8,12
800090,800090,,"Godena, M",311,2528,2448,55.2,56,183,72,ITA,M,1967,28,30,18,21,21,0,21,13
4403940,4403940,,"Rios, Cr",124,2530,2403,17.7,27,56,41,COL,M,1993,0,24,0,22,3,0,3,3
4692055,4692055,,"Bogner, S",300,2619,2527,-72.5,88,132,80,SUI,M,1991,13,34,5,27,14,0,14,4
14918781,14918781,,"Repka, C",287,2534,2407,33.4,71,121,95,SVK,M,1998,15,34,3,5,25,0,25,11
2806851,2806851,,"Rodshtein, M",502,2701,2615,10.3,200,227,75,ISR,M,1989,4,34,5,1,29,0,29,8
4202031,4202031,,"Banikas, H",234,2646,2567,-6.3,59,144,31,GRE,M,1978,0,2,18,36,12,0,12,13
1407767,1407767,,"Glud, J",117,2549,2498,-19.2,31,52,34,DEN,M,1988,0,17,13,17,6,0,6,6
3901211,3901211,,"Iturrizaga, E",743,2673,2613,71.3,298,326,119,VEN,M,1989,33,34,6,1,64,0,64,8
8603820,8603820,,Yu Yangyi,1043,2765,2615,151,412,479,152,CHN,M,1994,4,34,24,1,98,0,98,8
5202213,5202213,,"So, W",1198,2822,2650,161.7,394,607,197,USA,M,1993,4,34,21,1,64,0,64,8
14101572,14101572,,"Zatonskih, A",164,2512,2417,-93,29,59,76,USA,F,1978,8,32,2,2,12,0,12,7
14111330,14111330,,"Muzychuk, A",611,2606,2534,153,219,285,107,UKR,F,1990,8,32,2,2,44,0,44,7
4900880,4900880,,"Battulga, N",36,2425,2400,-14.8,7,8,21,MGL,M,1985,0,25,24,54,2,0,2,8
1000268,1000268,,"Van Wely, L",673,2701,2600,-121.6,236,283,154,NED,M,1972,19,34,5,11,63,0,63,8
2801990,2801990,,"Smirin, I",468,2687,2592,-73.1,173,198,97,ISR,M,1968,4,34,1,1,33,0,33,8
4212312,4212312,,"Pavlidis, Ant",208,2564,2446,120.2,67,80,61,GRE,M,1993,0,2,18,36,7,0,7,13
6302718,6302718,,"Yilmaz, M",473,2640,2531,-22.5,137,236,100,TUR,M,1992,4,34,8,13,36,0,36,1
2900017,2900017,,"Georgiev, Ki",573,2682,2581,-334.3,179,273,121,MKD,M,1965,23,34,18,25,46,0,46,12
1118358,1118358,,"Wojtaszek, R",931,2750,2698,-190.4,327,450,154,POL,M,1987,34,34,1,1,115,0,115,8
5007003,5007003,,"Harikrishna, P",921,2768,2680,-167.3,295,438,188,IND,M,1986,4,34,1,1,78,0,78,8
13306553,13306553,,"Martirosyan, Haik M.",261,2635,2411,211.6,100,107,54,ARM,M,2000,10,34,8,15,15,0,15,19
4657101,4657101,,"Svane, R",576,2615,2405,111.5,162,253,161,GER,M,1997,4,34,5,1,47,0,47,8
13602608,13602608,,"Sanikidze, T",330,2596,2493,7.1,83,145,102,GEO,M,1989,7,30,8,13,15,0,15,1
12521213,12521213,,"Tabatabaei, M",313,2612,2434,170.8,111,118,84,IRI,M,2001,29,34,6,20,19,0,19,4
1112953,1112953,,"Dziuba, M",208,2610,2550,-56.3,64,89,55,POL,M,1983,4,30,3,7,13,0,13,11
696358,696358,,"Bellahcene, B",160,2560,2428,1.8,40,62,58,ALG,M,1998,0,34,5,16,10,0,10,4
14204118,14204118,,"Abdusattorov, Nodirbek",242,2598,2429,158.7,65,112,65,UZB,M,2004,13,34,6,41,14,0,14,4
